sampleKEY, date, time, timeElapsed, timeUnit, actual, blank, temp
52,42578,0.680555556,6,hour,1.0072,1.0036,21.8
52,42579,0.430555556,24,hour,1.0069,1.0039,21
53,,0,40,sec,1.0125,1.0013,23
53,,0,40,sec,1.0128,,
53,,0.426388889,40,sec,1.0125,,
53,,0.427777778,2,min,1.0121,,
53,,0.429861111,5,min,1.0112,1.0013,22.5
53,,0.436805556,15,min,1.1015,,
53,,0.447222222,30,min,1.01,,
53,,0.468055556,60,min,1.0096,1.0016,22
53,,0.509722222,2,hour,1.0088,1.002,21.5
53,,0.676388889,6,hour,1.0085,1.0023,21.4
53,,0.426388889,24,hour,1.008,1.0024,20.8
54,,0,40,sec,1.01,1.0013,22.9
54,,0,40,sec,1.0095,,
54,,0.436805556,40,sec,1.0096,,
54,,0.438194444,2,min,1.009,,
54,,0.440277778,5,min,1.0082,1.0014,22
54,,0.447222222,15,min,1.0072,,
54,,0.457638889,30,min,1.0068,,
54,,0.478472222,60,min,1.0062,1.0014,21.7
54,,0.520138889,2,hour,1.006,1.0014,21
54,,0.686805556,6,hour,1.007,1.002,21
54,,0.436805556,24,hour,1.0062,1.0023,21
55,,0,40,sec,1.0132,1.0014,22.3
55,,0,40,sec,1.0133,,
55,,0.449305556,40,sec,1.013,,
55,,0.450694444,2,min,1.0122,,
55,,0.452777778,5,min,1.0117,1.0019,22
55,,0.459722222,15,min,1.0106,,
55,,0.470138889,30,min,1.01,,
55,,0.490972222,60,min,1.0096,1.0019,21.5
55,,0.532638889,2,hour,1.0094,1.0019,21.5
55,,0.699305556,6,hour,1.009,1.002,21
55,,0.449305556,24,hour,1.008,1.002,20.8
56,42566,0,40,sec,1.0168,1.0025,22
56,42566,0,40,sec,1.017,,
56,42566,0.424305556,40,sec,1.017,,
56,42566,0.425,2,min,1.016,,
56,42566,0.427083333,5,min,1.0145,1.0028,20.5
56,42566,0.434027778,15,min,1.0141,,
56,42566,0.444444444,30,min,1.0132,,
56,42566,0.465277778,60,min,1.0119,1.003,20.1
56,42566,0.506944444,2,hour,1.011,1.0031,20
56,42566,0.673611111,6,hour,1.0101,1.0035,20.2
56,42567,0.423611111,24,hour,1.009,1.004,20
57,42566,0,40,sec,1.0217,1.0028,21
57,42566,0,40,sec,1.0216,,
57,42566,0.436805556,40,sec,1.0213,,
57,42566,0.4375,2,min,1.0208,,
57,42566,0.439583333,5,min,1.0187,1.0028,20.9
57,42566,0.446527778,15,min,1.0171,,
57,42566,0.456944444,30,min,1.0162,,
57,42566,0.477777778,60,min,1.0155,1.0031,20.2
57,42566,0.519444444,2,hour,1.015,1.0031,20
57,42566,0.686111111,6,hour,1.014,1.0032,20.3
57,42567,0.436111111,24,hour,1.013,1.004,20
58,42566,0,40,sec,1.0169,1.0032,20.8
58,42566,0,40,sec,1.016,,
58,42566,0.454861111,40,sec,1.0155,,
58,42566,0.455555556,2,min,1.0135,,
58,42566,0.457638889,5,min,1.0141,1.003,20.5
58,42566,0.468055556,20,min,1.012,,
58,42566,0.475,30,min,1.011,,
58,42566,0.495833333,60,min,1.0111,1.0032,20.2
58,42566,0.5375,2,hour,1.0102,1.0034,20.1
58,42566,0.704166667,6,hour,1.0095,1.0036,20.3
58,42567,0.454166667,24,hour,1.0085,1.004,20.1
59,42569,0.434722222,40,sec,1.0215,,
59,42569,0.435416667,2,min,1.0195,,
59,42569,0.4375,5,min,1.0192,1.0027,21.5
59,42569,0.444444444,15,min,1.0174,,
59,42569,0.454861111,30,min,1.0166,,
59,42569,0.475694444,60,min,1.0159,1.003,20
59,42569,0.517361111,2,hour,1.015,1.0031,20
59,42569,0.684027778,6,hour,1.0139,1.003,20
59,42570,0.434027778,24,hour,1.0121,1.003,19
60,,0,40,sec,1.0212,1.0019,21.1
60,,0,40,sec,1.0214,,
60,,0.403472222,40,sec,1.0213,,
60,,0.404166667,2,min,1.0197,,
60,,0.40625,5,min,1.0185,1.002,21
60,,0.413194444,15,min,1.017,,
60,,0.423611111,30,min,1.016,,
60,,0.444444444,60,min,1.0151,1.0028,20.1
60,,0.486111111,2,hour,1.0141,1.003,20
60,,0.652777778,6,hour,1.0136,1.003,20
60,,0.402777778,24,hour,1.0124,1.004,19
61,,0,40,sec,1.0171,1.0035,22
61,,0,40,sec,1.0169,,
61,,0.422222222,40,sec,1.0168,,
61,,0.423611111,2,min,1.0157,,
61,,0.425694444,5,min,1.0143,1.004,22
61,,0.432638889,15,min,1.013,,
61,,0.443055556,30,min,1.012,,
61,,0.463888889,60,min,1.0112,1.0035,21.3
61,,0.505555556,2,hour,1.0106,1.0035,21
61,,0.672222222,6,hour,1.01,1.004,21
61,,0.422222222,24,hour,1.0091,1.004,20
62,,0,40,sec,1.0115,1.003,22
